"Biračko Mjesto","ARMIN HALITOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SANIL HASIĆ - DEMOKRATSKA FRONTA","TARIK PATKOVIĆ - NEZAVISNI KANDIDAT","SAMIR SEDIĆ - SDA/SBB"
004A001,177,76,5,92
004A002,222,21,1,152
004A003,245,85,18,110
004A004,275,69,20,88
004A005,211,66,11,102
004A006,189,60,19,69
004A007,153,95,11,77
004A008A,172,103,7,81
004A008B,125,78,1,62
004A009,208,42,7,97
004A010,176,59,2,83
004A011,241,55,8,85
004A012,155,28,2,109
004A013,247,35,4,105
004A014A,160,2,1,113
004A014B,116,4,4,277
004A015A,81,9,4,161
004A015B,92,13,7,124
004A015C,72,9,5,99
004A016,141,32,4,203
004A017A,130,46,4,157
004A017B,102,29,5,133
004A018A,114,18,6,123
004A018B,130,24,8,97
004A019,282,22,6,32
004A020,209,39,6,197
004A021,112,26,3,111
004A022,198,60,10,120
004A023,111,22,3,99
004A024,233,51,6,65
004A025,210,46,3,88
004A026,157,55,7,61
004A027,121,10,2,118
004A028,197,75,4,73
004A029,101,58,4,57
Ukupno,5865,1522,218,3820
