"Biračko Mjesto","MILORAD SIMIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","NADE PLANINČEVIĆ - SAVEZ ZA PROMJENE-DERVENTA"
014B001,264,171
014B002,261,139
014B003,367,173
014B004,270,146
014B005,314,147
014B006,151,91
014B007,299,159
014B008,196,120
014B009,245,147
014B010,277,118
014B011,137,125
014B012,177,119
014B013A,197,127
014B013B,210,112
014B014,245,129
014B015,390,125
014B016,267,135
014B017,209,96
014B018,371,95
014B019,282,75
014B020A,229,187
014B020B,242,184
014B021,365,169
014B022,161,50
014B023A,144,152
014B023B,128,217
014B024,294,179
014B025,252,141
014B026,185,144
014B027A,233,128
014B027B,156,75
014B028,239,94
014B029,37,49
014B030,87,53
014B031,125,89
014B032,72,8
014B033,157,74
014B034,51,15
014B035,171,152
014B036,233,137
014B037,223,73
014B038,173,106
014B039,31,27
014B040,90,14
014B041,52,28
014B042,47,2
Ukupno,9306,5096
