"Biračko Mjesto","REFIK HANKIĆ - STRANKA ZA BOSNU I HERCEGOVINU","EDIN DELIĆ - KOALICIJA SDP-DF","AMIR SEJDINOVIĆ - SDA/SBB"
047A001A,11,64,65
047A001B,11,83,68
047A002,16,187,65
047A003,10,322,78
047A004,19,316,161
047A005,15,270,121
047A006,12,317,116
047A007,11,266,130
047A008,13,332,101
047A009A,11,140,56
047A009B,8,136,129
047A010,17,296,141
047A011,32,230,102
047A012,10,113,55
047A013,16,250,252
047A014,28,280,259
047A015,14,124,206
047A016A,38,126,136
047A016B,61,159,135
047A016C,39,117,164
047A016D,31,85,121
047A017,80,178,130
047A018A,22,62,281
047A018B,77,46,228
047A018C,63,42,302
047A018D,11,33,113
047A019A,19,130,188
047A019B,43,148,262
047A019C,25,98,178
047A020,72,150,165
047A021,43,191,163
047A022,25,206,174
047A023A,13,191,232
047A023B,5,120,169
047A024A,48,231,108
047A024B,36,156,114
047A025,26,65,168
047A026,17,153,269
047A027A,36,299,117
047A027B,22,244,102
047A027C,17,288,152
047A027D,16,182,114
047A028,4,215,121
047A029,16,87,89
047A030,63,65,271
047A031,36,174,239
047A032,14,34,155
047A033,15,81,137
047A034,0,8,53
047A035,13,69,64
047A036,8,23,17
047A037,29,268,169
047A038,76,152,177
047A039,23,168,235
047A040,19,283,108
047A041,14,289,110
047A042,35,40,86
047A043,56,105,286
047A044A,16,178,96
047A044B,8,179,105
047A045,16,144,196
047A046,19,199,84
047A047,17,250,109
Ukupno,1636,10437,9297
