"Biračko Mjesto","ADIS ZRNO - SDA SBIH JEDINSTVOM DO USPJEHA","MLADEN MIŠURIĆ-RAMLJAK - KOALICIJA HDZBIH-HSS STJEPANA RADIĆA"
115A001,114,48
115A002,86,323
115A003,177,221
115A004,21,460
115A005,243,125
115A006,171,341
115A007,55,208
115A008,25,346
115A009,17,284
115A010,158,156
115A011,285,179
115A012,94,309
115A013,136,254
115A014,111,267
115A015,420,147
115A016,419,172
115A017,6,249
115A018,30,296
115A019,178,217
115A020,56,338
115A021,15,132
115A022,301,144
115A023,194,25
115A024,84,242
115A025,66,329
Ukupno,3462,5812
