"Biračko Mjesto","TOMISLAV PUHALAC - SDS-SRPSKA DEMOKRATSKA STRANKA","MILORAD JAGODIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
146B001,32,13
146B002,99,57
146B003,163,187
146B004,69,61
146B005,44,65
146B006,86,107
146B007,86,40
146B008,9,14
146B009,61,70
146B010,119,104
146B011,42,48
146B012,47,37
146B013,31,26
146B014,12,35
146B015,156,216
146B016A,193,184
146B016B,190,177
146B017,194,320
146B018,259,253
146B019,295,381
146B020,277,344
146B021,256,289
146B022,201,206
146B023,108,95
146B024,139,198
Ukupno,3168,3527
