"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","DEMOKRATSKA FRONTA","SAVEZ ZA NOVU POLITIKU","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE",SDA/SBB/SBIH,"ZA BOLJU SREBRENICU NS I PUP","POKRET ZA PREOKRET"
105B000,0,0,0,0,3,7,0,0,0,0,0,18,0,0
105B001,18,19,0,8,16,35,0,12,0,0,3,58,0,15
105B002,29,63,1,10,48,133,0,26,0,0,12,96,3,14
105B003A,13,58,0,20,49,96,1,3,0,1,17,28,10,11
105B003B,9,47,2,17,62,108,0,0,0,0,15,18,8,17
105B003C,5,54,0,23,64,95,0,3,0,0,20,14,13,4
105B004,5,11,0,1,10,28,0,1,0,0,4,49,0,0
105B005,14,43,0,25,78,74,0,2,0,0,6,77,6,4
105B006,20,0,0,1,5,0,0,5,0,0,0,128,0,1
105B007,56,62,3,34,61,88,0,28,0,0,20,180,52,10
105B008,96,0,0,0,0,0,0,6,0,0,0,226,0,0
105B009,22,10,0,0,4,36,0,19,0,0,4,100,0,1
105B010,9,30,0,3,18,22,0,0,0,0,19,20,14,21
105B011,14,81,0,14,11,150,0,1,0,0,5,45,2,5
105B012A,5,56,0,18,27,108,0,2,0,0,16,11,0,20
105B012B,3,54,0,10,24,149,0,6,0,0,13,2,1,32
105B012C,9,49,0,0,20,154,0,7,0,0,19,7,2,20
105B013,10,76,0,0,5,72,0,0,0,0,5,7,1,17
105B014,7,48,0,15,8,150,0,0,0,0,25,26,0,11
105B015,0,70,0,41,21,243,0,0,0,0,9,6,21,5
105B016,7,23,0,3,19,25,0,0,0,0,3,4,0,6
105B017,4,0,0,0,0,0,0,0,0,0,0,91,0,0
105B018,7,17,0,8,9,16,0,0,0,0,8,25,4,13
105B019,1,1,0,0,0,2,0,0,0,0,0,72,0,1
105B020,0,10,0,6,32,17,0,0,0,0,2,8,4,1
105B021,0,0,0,0,0,0,0,0,0,0,0,65,0,1
105B022,12,37,0,2,18,110,0,0,0,0,6,3,3,27
Ukupno,375,919,6,259,612,1918,1,121,0,1,231,1384,144,257
