"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","SAFET KUKOLJ - NEZAVISNI KANDIDAT","LIBERALNO DEMOKRATSKA STRANKA BIH","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","IDRIZ ČILIĆ - NEZAVISNI KANDIDAT","ŠEFIK GUSIĆ - NEZAVISNI KANDIDAT","DEMOKRATSKA FRONTA","NIHAD ŠIRIĆ - NEZAVISNI KANDIDAT","DŽANA MOTIKA - NEZAVISNI KANDIDAT","GRAĐANSKI SAVEZ (GS)","HDZ-KOALICIJA ZA JABLANICU-HDZ BIH-HDZ 1990"
126A001,0,6,49,66,0,15,2,22,13,15,11,17,8,1,3
126A002,14,44,124,141,9,41,14,87,18,17,39,45,19,8,1
126A003,2,38,89,169,9,50,8,67,23,8,6,29,20,6,4
126A004,2,32,136,161,5,33,5,41,23,8,12,26,29,3,5
126A005,6,24,121,166,12,27,6,61,20,5,21,52,24,1,4
126A006,1,5,39,89,1,6,2,19,0,18,5,22,8,0,29
126A007,1,9,5,45,0,1,1,6,0,9,16,19,4,1,108
126A008,0,1,31,29,0,12,0,3,1,5,5,5,3,0,38
126A009,0,55,28,48,6,12,4,42,3,4,2,0,5,0,0
126A010,4,24,42,206,35,47,15,67,7,9,36,9,2,2,1
126A011,2,1,9,29,16,1,0,6,0,6,3,0,11,0,0
126A012,0,5,2,29,0,30,0,8,20,2,6,11,5,0,0
126A013,3,9,32,116,6,9,3,36,17,6,4,11,0,0,3
126A014,0,7,34,77,2,17,0,36,5,12,47,21,3,5,1
126A015,7,4,74,101,1,13,6,45,10,26,17,27,53,0,6
126A016,0,17,42,84,6,42,0,34,5,5,23,2,1,0,0
126A017,11,13,65,78,0,19,1,65,19,11,20,50,64,1,3
126A018,3,9,57,69,7,15,4,19,6,3,17,31,3,0,0
126A019,0,3,29,52,1,20,2,21,12,12,15,6,1,1,0
Ukupno,56,306,1008,1755,116,410,73,685,202,181,305,383,263,29,206
