"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","SAVEZ ZA NOVU POLITIKU","SRS-SRPSKA U SIGURNE RUKE","NDP-ZDRAVKO KRSMANOVIĆ","NEZAVISNA LISTA GORE BITI NEĆE"
166B001,26,58,16,12,0,27,41,261,12,10,1,94,8
166B002,2,17,2,10,1,21,19,37,1,8,0,34,3
166B003,2,23,4,1,0,32,46,35,5,4,0,34,2
166B004,7,37,0,2,0,16,18,62,0,1,0,21,0
166B005,4,4,0,4,0,0,3,11,0,0,0,0,0
166B006,0,9,1,0,0,0,6,25,0,0,0,6,2
166B007,5,14,4,82,1,1,0,53,0,1,0,21,0
166B008,14,74,22,29,2,78,64,201,7,14,17,70,3
166B009,8,10,0,46,1,9,10,22,0,0,0,9,0
166B010,3,68,38,37,2,75,47,122,3,11,0,59,3
166B011,11,25,18,34,0,22,30,80,2,10,0,93,0
166B012,3,14,3,29,0,3,16,47,1,0,0,74,0
166B013,0,2,1,1,0,0,33,33,0,6,0,17,0
166B014,1,21,0,0,0,6,64,10,2,9,0,23,0
166B015,0,5,3,0,0,1,35,14,2,0,0,8,0
166B016,0,2,0,0,0,0,5,0,0,0,0,3,0
166B017,1,12,0,0,0,0,13,11,0,0,0,14,0
166B018,0,50,18,21,0,29,23,41,0,0,0,28,0
166B019,9,77,22,2,1,35,79,151,6,6,0,90,9
166B020,9,62,39,18,2,36,51,148,8,14,0,60,4
166B021,2,90,30,8,1,43,96,246,10,20,0,87,10
166B022,9,70,15,7,4,49,45,153,11,8,0,76,8
166B023,35,98,33,10,4,54,85,182,15,9,1,107,15
166B024,24,51,42,10,2,32,80,186,2,7,0,75,11
166B025,20,63,32,11,1,49,68,154,6,16,0,106,5
166B026,12,126,22,3,1,65,72,218,12,13,0,96,9
166B027,8,52,10,12,0,9,36,111,1,8,2,39,4
166B028,10,85,14,11,4,25,64,188,20,3,1,111,9
166B029A,14,85,29,22,0,49,76,174,7,17,2,79,8
166B029B,3,52,25,4,0,31,66,159,4,10,0,68,2
166B030A,15,73,23,6,1,35,28,129,4,4,0,58,5
166B030B,3,66,18,3,1,46,38,96,2,4,0,70,1
166B031,5,89,11,8,0,102,55,128,3,9,1,109,0
166B032,0,1,0,18,0,0,1,1,0,0,0,2,0
166B033,0,3,0,31,0,7,0,7,0,0,0,10,0
Ukupno,265,1588,495,492,29,987,1413,3496,146,222,25,1851,121
